"Event Name","Event Number","Event Type","Host Names","Description","Price","Age Range","Max Tickets","Sold Count","Wait Count","Starts","Start Date (UTC)","Duration (minutes)","More Info","Room","Space","Date Created","Date Updated","View URI","Player Experience","Game Complexity","Minimum # of Players","Hosting Company, Group, or Club Name","Game System (without edition)","Game Edition","Table Size Request"
"Star Wars Outer Rim with Unfinished Business expansion.","81","Board and Card Game","David Miller","In Outer Rim, you take on the role of an underworld denizen. You'll travel the outer rim in your personal ship, hire legendary characters to join your crew, and try to become the most famous outlaw.","0","Teen (13+)","3","1","0","Friday at  6:00 PM","2022-10-07T22:00:00","180","http://","Ballroom","309","2022-07-23T19:05:32","2022-09-02T15:09:15","/conventions/u-con-2022/schedule/81","Beginner","Average","3",,,,"6'x18"" Rectangle (6 chairs)"
"Star Wars Edge of the Empire- Return To Mandalore","197","Role Playing","Frank Russell","Your exile from Mandalore will be over if you can gather the resources needed to overthrow the Imperial Viceroy Gar Saxon. All materials and PCs provided.","0","Teen (13+)","6","5","0","Friday at  6:00 PM","2022-10-07T22:00:00","240","http://www.muskulls.org","Conference A","Conference A 2","2022-08-01T12:28:56","2022-09-06T22:13:37","/conventions/u-con-2022/schedule/197","Beginner","Average","2","MU Skulls","Star Wars: Edge of the Empire","1st","5' Round"
"Car Wars 6e","253","Miniatures","Blair Reamy","A complete redesign of the original game of autoduelling. Car Wars is a game of the freeways and arenas of the future, where the right of way goes to the biggest guns","0","Teen (13+)","6","5","0","Friday at  6:00 PM","2022-10-07T22:00:00","180","https://carwars.sjgames.com/","Ballroom","101","2022-08-03T23:46:39","2022-09-14T20:48:39","/conventions/u-con-2022/schedule/253","Beginner","Average","3","Amorphous Blob Games",,,"72 x 48"
"Evolution Climate","63","Board and Card Game","John Yax","Use cards to build species and feed them. Also, thrive in whatever climate comes up. Will be playing climate swing variant where the climate has potential for extreme swings.","0","Teen (13+)","5","3","0","Friday at  6:00 PM","2022-10-07T22:00:00","120","https://boardgamegeek.com/boardgame/182134/evolution-climate","Ballroom","206","2022-07-23T19:00:23","2022-09-11T04:14:53","/conventions/u-con-2022/schedule/63","Some XP","Average","4",,,,"8'x30"" Rectangle (6 chairs)"
"Settlers of Catan 3D board","128","Board and Card Game","Becky Reamy","Guide your brave settlers to victory by using clever trading and development. Use resources (grain, wool, ore, brick, and lumber) to build roads, settlements, and cities, and buy development cards.","0","Teen (13+)","4","2","0","Friday at  6:00 PM","2022-10-07T22:00:00","120","http://","Ballroom","203","2022-07-28T14:37:24","2022-09-02T21:15:06","/conventions/u-con-2022/schedule/128","Beginner","Average","3","Amorphous Blob Games",,,"6'x30"" Rectangle (6 chairs)"
"Abomination: Heir of Frankenstein","1","Board and Card Game","Stewart Tame ","Players have been tasked by Frankenstein's creature to recreate the Doctor's greatest experiment. Harvest cadavers, charge Leyden jars, and bring creations to life.  But beware the moral implications!","0","Teen (13+)","3","0","0","Friday at  6:00 PM","2022-10-07T22:00:00","240","http://","Ballroom","204","2022-06-30T23:46:09","2022-08-11T13:23:24","/conventions/u-con-2022/schedule/1","Beginner","Complex","1",,,,"8'x18"" Rectangle (6 chairs)"
"Telestrations","132","Board and Card Game","Cheryl Orosz","A creative game of drawing and a fun twist on the telephone game. Side splitting fun.","0","Teen (13+)","12","0","0","Friday at  6:00 PM","2022-10-07T22:00:00","120","https://boardgamegeek.com/boardgame/46213/telestrations","Ballroom","311","2022-07-28T14:37:40","2022-08-05T20:20:18","/conventions/u-con-2022/schedule/132","Beginner","Simple","2",,,,"6'x18"" Rectangle (6 chairs)"
"The Life of the Party","410","Role Playing","Matt Quirk","A millionaire is found frozen in the Potomac during a record heatwave. At his home, a cocktail party is in progress and none of the guests seem to know that that their absent host is actually dead.","0","Teen (13+)","6","4","0","Friday at  6:00 PM","2022-10-07T22:00:00","240","http://quirkspace.com/arsmagica/","Conference D","Conference D 3","2022-08-22T14:01:17","2022-09-09T17:30:36","/conventions/u-con-2022/schedule/410","Some XP","Complex","3",,"Ars Magica Modern","4.0 with house rules","5' Round"
"Eurorails/Empire Builder","14","Board and Card Game","allen stiles","Empire Builder crayon rails system.","0","Adult (18+)","24","0","0","Friday at  6:00 PM","2022-10-07T22:00:00","180","http://","Ballroom","316","2022-07-15T17:16:47","2022-08-05T17:47:59","/conventions/u-con-2022/schedule/14","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Unrated Blitz Chess Tournament","407","Board and Card Game","Michael McGuire","Play like Beth Harmon in a Blitz chess tournament. Please download a chess timer on your phone or bring a chess timer. This tournament will be set up in a double round Robin quad format.","0","Family Friendly (7+)","16","0","0","Friday at  6:00 PM","2022-10-07T22:00:00","120","http://","Ballroom","422","2022-08-21T18:20:32","2022-09-01T16:05:36","/conventions/u-con-2022/schedule/407","Expert","Complex","3",,,,"6'x30"" Rectangle (6 chairs)"
"Marvel United and MU: X-Men","270","Board and Card Game","Nick Huston ","Team up against one of over 60 Marvel villains as your favorite hero! Games take less than an hour, so feel free to play multiple games or get a quick game in between events.","0","Family Friendly (7+)","24","2","0","Friday at  6:00 PM","2022-10-07T22:00:00","180","http://","Ballroom","207","2022-08-06T16:08:13","2022-09-08T21:30:15","/conventions/u-con-2022/schedule/270","Beginner","Simple","2","Oakland County Gamers",,,"6'x30"" Rectangle (6 chairs)"
"Silverton","26","Board and Card Game","allen stiles","","0","Adult (18+)","12","1","0","Friday at  6:00 PM","2022-10-07T22:00:00","180","http://","Ballroom","317","2022-07-15T17:17:24","2022-09-03T20:42:35","/conventions/u-con-2022/schedule/26","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Delta Green: Blacksat","351","Role Playing","Jeremy Hallum","Blacksat follows a team of NASA astronauts and a pair of civilians into space in 2010.  A simple satellite repair leads them into truths of mathematics and physics beyond all wonder and fear.","0","Teen (13+)","6","6","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Conference E","Conference E 2","2022-08-11T11:52:15","2022-09-02T20:53:42","/conventions/u-con-2022/schedule/351","Beginner","Average","4","Ann Arbor Iron Gods","Delta Green","","5' Round"
"4-01 Intro: Year of Boundless Wonder","303","Organized Play","Kurt Wasiluk","While searching through a newly acquired trove of treasures, Pathfinders are drawn into an otherworldly realm and must use their wits to escape! Level 1-4 Characters, Pregens available, Repeatable.","0","Teen (13+)","6","3","0","Friday at  7:00 PM","2022-10-07T23:00:00","270","http://","Elizabeth Ann","Table 08","2022-08-06T20:19:42","2022-09-12T21:42:33","/conventions/u-con-2022/schedule/303","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Pathfinder","2nd Edition","5' Round"
"Battle of Hogwarts: Charms and Potions","109","Board and Card Game","Trisha Kloha","In this cooperative game, you will take on the heroic role of either Harry Potter, Ron Weasley, Ginny Weasley, Hermione Granger or Neville Longbottom in order to defeat a series of evil threats.","0","Teen (13+)","4","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","https://boardgamegeek.com/boardgame/304297/harry-potter-hogwarts-battle-charms-and-potions-ex","Ballroom","201","2022-07-28T14:33:12","2022-09-03T00:31:49","/conventions/u-con-2022/schedule/109","Some XP","Average","1","Amorphous Blob Games",,,"6'x18"" Rectangle (6 chairs)"
"Sentinels of the Multiverse -- Definitive Edition","78","Board and Card Game","Eric Kramp","Sentinels of the Multiverse is a cooperative fixed-deck superhero game in which the players work together to defeat a self-running villian with great variation. 2 games will be played per session.","0","Teen (13+)","5","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","120","https://boardgamegeek.com/boardgame/335212/sentinels-multiverse-definitive-edition","Ballroom","303","2022-07-23T19:04:15","2022-09-05T12:34:18","/conventions/u-con-2022/schedule/78","Beginner","Average","2",,,,"5' Round (7 chairs)"
"Xia: Legends of a Drift System","384","Board and Card Game","Jason Miller","Xia is a sandbox style competitive space adventure. Players can attain points in many ways and choose the path they want to victory: Fighter, Trader, Explorer and many more. Some expansion content.","0","Teen (13+)","4","4","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","https://boardgamegeek.com/boardgame/82222/xia-legends-drift-system","Ballroom","305","2022-08-17T22:45:29","2022-09-03T13:04:10","/conventions/u-con-2022/schedule/384","Beginner","Average","2",,,,"5' Round (7 chairs)"
"Splendor","479","Board and Card Game","Pritpaul Mahal","Splendor is a game of chip-collecting and card development. Use gems to buy gem mines, which, in turn, help you buy more mines. Strategize to attract nobles and acquire the most prestige points.","0","Family Friendly (7+)","4","3","0","Friday at  7:00 PM","2022-10-07T23:00:00","60","http://","Ballroom","212","2022-09-01T15:18:27","2022-09-02T16:14:49","/conventions/u-con-2022/schedule/479","Beginner","Average","2",,,,""
"You Pay For It One Way Or Another","385","Role Playing","William Nichols","The Gentle Madness Bookstore employees do more than just sell books.  They also consult for law enforcement on mysterious cases.  The Detroit Police call them in when young men start dying.","0","Adult (18+)","6","6","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Conference E","Conference E 1","2022-08-17T22:45:46","2022-09-09T19:56:51","/conventions/u-con-2022/schedule/385","Beginner","Simple","4",,"Call of Cthulhu","7th","5' Round"
"Terraforming Mars: Training","484","Board and Card Game","Joe Orosz","Never tried Terraforming Mars before? Then this session is for you. Using only base rules.","0","Teen (13+)","9","0","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Ballroom","209","2022-09-01T15:18:44","2022-09-01T15:53:19","/conventions/u-con-2022/schedule/484","Beginner","Complex","3",,,,"6'x30"" Rectangle (6 chairs)"
"Brass: Birmingham","596","Board and Card Game","Tom Wolan","Become a dominant entrepreneur in the dawn of the Industrial Age. Build industries, spread your networks using canals and railroads, and take advantage of the resources available to win.","0","Teen (13+)","4","0","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","https://boardgamegeek.com/boardgame/224517/brass-birmingham","Ballroom","211","2022-09-15T00:43:11","2022-09-15T00:51:22","/conventions/u-con-2022/schedule/596","Beginner","Complex","2",,,,"6'x30"" Rectangle (6 chairs)"
"Wuru 4: Heist!","178","Role Playing","Patrick Brady","An elite team from the Temple of Wuru are tasked to disrupt the nefarious plans of the Temple of Hnalla.","0","Mature Content (18+)","6","6","3","Friday at  7:00 PM","2022-10-07T23:00:00","300","http://","Seminar","Seminar 5","2022-07-28T16:50:34","2022-09-03T17:52:14","/conventions/u-con-2022/schedule/178","Some XP","Average","1","Tekumel","Diceless",,"6'x5' Rectangle"
"Savage Worlds (Superheroes): Holy War","549","Role Playing","Kurt Garwood","Mutant supremacist and anti-mutant religious cults have gone to war with each other.  It is up to the heroes to stop the war from escalating out of control.  Characters will be provided.","0","Teen (13+)","6","0","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Conference C","Conference C 3","2022-09-03T14:41:06","2022-09-03T14:51:23","/conventions/u-con-2022/schedule/549","Beginner","Average","4",,"Savage Worlds","Adventure Edition (SWADE)","6'x5' Rectangle"
"Mutants & Mayhem","457","Role Playing","Shane Harsch","Make your own mutant or robot in the first hour and then adventure under an Atomic Sky for the remaining time. Relics & Raiders. Cults & Critters. Beasts & Bots. Secrets of the Glow...","0","Teen (13+)","5","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","https://legendsmiths.com/atomic-sky/","Conference E","Conference E 3","2022-08-30T11:54:26","2022-09-04T00:01:17","/conventions/u-con-2022/schedule/457","Beginner","Average","3","Legendsmiths","Hero System","6E","5' Round"
"The Festering Locusts of Fenmore","198","Role Playing","Walter B Schirmacher","A Lovecraft-inspired adventure set during the French and Indian War. Can you help a militiaman find his family in the northern wilderness of 1758 New York and face the unearthly horror that awaits?","0","Teen (13+)","6","3","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Conference C","Conference C 1","2022-08-01T12:29:10","2022-09-15T03:00:38","/conventions/u-con-2022/schedule/198","Beginner","Average","3","Steve Jackson Games Men in Black","GURPS Horror","4th","5' Round"
"Curse of the Spiderwood","414","Role Playing","Marc Tassin","Finding the children lost in Spiderwood was easy. The problem is the forest doesn't plan to let you leave. It's a race against the clock to overcome the strange curse of this enchanted forest.","0","Teen (13+)","6","4","0","Friday at  7:00 PM","2022-10-07T23:00:00","120","http://https://aetaltis.com/conventions/","Conference E","Conference E 7","2022-08-25T17:51:39","2022-09-15T01:09:28","/conventions/u-con-2022/schedule/414","Beginner","Average","3","Mechanical Muse","Dungeons and Dragons","5E","5' Round"
"Battletech:  The Willow run Grinder.","503","Miniatures","David Nelson","Come drive a 10-meter-tall death machine into battle.  Get kill, just grab another mech!  Feel free to drop in and start fighting!  New player welcomed!","0","Teen (13+)","12","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Ballroom","402","2022-09-02T11:44:23","2022-09-03T18:47:11","/conventions/u-con-2022/schedule/503","Beginner","Average","2",,,,"72 x 48"
"Die Macher","232","Board and Card Game","John Curran","Players represent political parties attempting to gain power in Germany. A classic Euro game of platforms, media, opinion polls, and elections. The first game ever listed on Boardgamegeek!","0","Teen (13+)","5","1","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Ballroom","418","2022-08-03T23:40:04","2022-09-02T15:08:56","/conventions/u-con-2022/schedule/232","Beginner","Complex","3","Ypsi Gaming Group",,"","6'x30"" Rectangle (6 chairs)"
"Adventure of the Three Damosels","603","Role Playing","Robert Schroeder","Errant knights eagerly ride to Camelot for the Christmas Court when they are suddenly waylaid by a mysterious lady. She offers three strange challenges and promises glory!","0","Teen (13+)","6","0","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Seminar","Seminar 2","2022-09-15T16:45:05","2022-09-15T16:47:53","/conventions/u-con-2022/schedule/603","Beginner","Simple","2",,"King Arthur Pendragon","5th","5' Round"
"Merlinspawn","96","Role Playing","David Vandenabeele","Merlin returned magic to the land, revolutionizing every field.  London of 1876 now sees alchemy at Scotland Yard, magic classes at university, and inventions that defy physics.  This is your world.","0","Adult (18+)","5","4","0","Friday at  7:00 PM","2022-10-07T23:00:00","300","http://","Seminar","Seminar 1","2022-07-23T19:15:02","2022-09-03T17:54:24","/conventions/u-con-2022/schedule/96","Beginner","Average","1","","","","6'x30"" Rectangle"
"Lost Ruins of Arnak w/Expedition Leaders","237","Board and Card Game","Joe Capuano","Lost Ruins of Arnak combines deckbuilding and worker placement in a game of exploration, resource management, and discovery. You're limited to only one action per turn, so make your choice carefully.","0","Teen (13+)","4","4","1","Friday at  7:00 PM","2022-10-07T23:00:00","180","http://","Ballroom","419","2022-08-03T23:41:11","2022-09-14T22:59:32","/conventions/u-con-2022/schedule/237","Beginner","Average","2","Ypsi Gaming Group",,"","8'x30"" Rectangle (6 chairs)"
"Blood on the Clocktower","552","Board and Card Game","Matt Gutierrez","Blood on the Clocktower is a bluffing game enjoyed by 5 to 20 players on opposing teams of Good and Evil, overseen by a Storyteller player who conducts the action and makes crucial decisions.","0","Adult (18+)","15","1","0","Friday at  7:00 PM","2022-10-07T23:00:00","120","http://https://boardgamegeek.com/boardgame/240980/blood-clocktower","Ballroom","102","2022-09-04T21:01:45","2022-09-08T13:24:54","/conventions/u-con-2022/schedule/552","Beginner","Average","5"
"Star Trek: Five-Year Mission","131","Board and Card Game","Mark Kloha","Your five year mission aboard the U.S.S. Enterprise is ready to begin. ALERT! You and your fellow crewmates must cooperate to resolve dangerous situations that threaten to destroy your ship.","0","Teen (13+)","7","3","0","Friday at  7:00 PM","2022-10-07T23:00:00","120","http://https://boardgamegeek.com/boardgame/178613/star-trek-five-year-mission","Ballroom","202","2022-07-28T14:37:36","2022-09-02T15:13:46","/conventions/u-con-2022/schedule/131","Beginner","Simple","2","Amorphous Blob Games",,,"6'x18"" Rectangle (6 chairs)"
"Nemesis","241","Board and Card Game","Kevin Schnell","You and your crewmates must survive on a ship infested with hostile organisms. Complete one of the two objectives dealt to you at the start of the game and get back to Earth in one piece.","0","Teen (13+)","5","5","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Ballroom","415","2022-08-03T23:42:00","2022-09-11T12:51:31","/conventions/u-con-2022/schedule/241","Beginner","Average","2","Ypsi Gaming Group",,"","8'x30"" Rectangle (6 chairs)"
"Railways of the World","405","Board and Card Game","Paul Johnson","Take on the role of a 19th century rail baron, laying track and delivering goods across the country! Will bring both the Eastern and Western U.S. maps, so the Transcontinental game is a possibility.","0","Teen (13+)","10","1","0","Friday at  7:00 PM","2022-10-07T23:00:00","240","http://","Ballroom","413","2022-08-21T18:20:08","2022-09-02T20:28:54","/conventions/u-con-2022/schedule/405","Beginner","Average","1",,,,"8'x30"" Rectangle (6 chairs)"
"04-99 A Time of Crisis","275","Organized Play","Edward A Kabara","Stranded Starfinders must band together to survive the various threats mounting around them. Can they thrive in this new home?  A multitable event for Starfinders levels 1 to 6.  Pregens available.","0","Teen (13+)","6","4","0","Friday at  7:00 PM","2022-10-07T23:00:00","270","http://","Elizabeth Ann","Table 02","2022-08-06T20:18:19","2022-09-02T15:21:34","/conventions/u-con-2022/schedule/275","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"04-99 A Time of Crisis","276","Organized Play","Edward A Kabara","Stranded Starfinders must band together to survive the various threats mounting around them. Can they thrive in this new home?  A multitable event for Starfinders levels 1 to 6. Pregens available.","0","Teen (13+)","6","6","0","Friday at  7:00 PM","2022-10-07T23:00:00","270","http://","Elizabeth Ann","Table 03","2022-08-06T20:18:22","2022-09-10T19:27:27","/conventions/u-con-2022/schedule/276","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"04-99 A Time of Crisis","277","Organized Play","Edward A Kabara","Stranded Starfinders must band together to survive the various threats mounting around them. Can they thrive in this new home?  A multitable event for Starfinders levels 1 to 6.  Pregens available.","0","Teen (13+)","6","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","270","http://","Elizabeth Ann","Table 04","2022-08-06T20:18:25","2022-09-10T19:18:38","/conventions/u-con-2022/schedule/277","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"Paint the Roses","363","Board and Card Game","Evans Ward Collins","Paint the Roses is a 2-5 player cooperative logic deduction game set in the puzzling world of Alice in Wonderland.","0","Family Friendly (7+)","5","3","0","Friday at  7:00 PM","2022-10-07T23:00:00","120","https://boardgamegeek.com/boardgame/253759/paint-roses","Ballroom","424","2022-08-11T13:03:01","2022-09-05T04:11:36","/conventions/u-con-2022/schedule/363","Beginner","Average","3",,,,"6'x30"" Rectangle (6 chairs)"
"04-99 A Time of Crisis","278","Organized Play","Edward A Kabara","Stranded Starfinders must band together to survive the various threats mounting around them. Can they thrive in this new home?  A multitable event for Starfinders levels 1 to 6.  Pregens available.","0","Teen (13+)","6","0","0","Friday at  7:00 PM","2022-10-07T23:00:00","270","http://","Elizabeth Ann","Table 05","2022-08-06T20:18:28","2022-09-02T12:45:17","/conventions/u-con-2022/schedule/278","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"04-99 A Time of Crisis","279","Organized Play","Edward A Kabara","Stranded Starfinders must band together to survive the various threats mounting around them. Can they thrive in this new home?  A multitable event for Starfinders levels 1 to 6.  Pregens available.","0","Teen (13+)","6","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","270","http://","Elizabeth Ann","Table 06","2022-08-06T20:18:31","2022-09-05T19:55:46","/conventions/u-con-2022/schedule/279","Beginner","Average","2","Michigan Pathfinder and Starfinder Societies","Starfinder","1st edition","5' Round"
"Pandemic: Reign of Cthulhu (2016)","364","Board and Card Game","Jeff Beeler","Close portals, send cultists to the sanitarium, banish Shoggoths, and stave off insanity before too many Old One awaken! Perfect for getting you into a Halloween mood.","0","Adult (18+)","4","2","0","Friday at  7:00 PM","2022-10-07T23:00:00","180","https://boardgamegeek.com/boardgame/192153/pandemic-reign-cthulhu","Ballroom","304","2022-08-11T13:03:18","2022-09-11T23:41:49","/conventions/u-con-2022/schedule/364","Some XP","Average","1",,,,"5' Round (7 chairs)"
"Spelljammer Academy: Orientation / Trial by Fire","514","Organized Play","Tim Kropf","Fall in cadets! It's time for your introduction to Wildspace! (DDAL-SJA-1 & DDAL-SJA-2). Parts 1 & 2 of 4. For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","0","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Clubhouse","Clubhouse 2","2022-09-02T13:06:09","2022-09-03T16:11:56","/conventions/u-con-2022/schedule/514","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"The Unicorn Festival","443","Role Playing","Matthew Neymeiyer","A light hearted 5e adventure about trying to join the illustrious Unicorn Faction. Note: not suitable for those who actually like unicorns.","0","Teen (13+)","6","4","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Conference B","Conference B 1","2022-08-27T19:39:54","2022-09-08T11:10:15","/conventions/u-con-2022/schedule/443","Beginner","Average","1","We Hate Bards","Dungeons and Dragons 5th Edition","",""
"Tiny Gods","444","Role Playing","Joshua Brubaker","Roleplay as mythical gods as we go through and create (and possibly ruin!) an entire world together from creation of the world  down to local pesky thieves guilds and mythical creatures.","0","Teen (13+)","5","2","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Conference B","Conference B 2","2022-08-27T19:39:56","2022-09-10T19:33:11","/conventions/u-con-2022/schedule/444","Beginner","Average","1","We Hate Bards","Tiny Gods","",""
"Spelljammer Academy: Realmspace Sortie! / H'Catha","522","Organized Play","dan harsh","Fall in cadets! It's time for your introduction to Wildspace! (DDAL-SJA-3 & DDAL-SJA-4). Parts 3 & 4 of 4. For beginners and experts, levels 1-4 (tier 1). No materials needed, we can provide!","0","Family Friendly (7+)","7","1","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Clubhouse","Clubhouse 3","2022-09-02T13:06:24","2022-09-03T16:20:28","/conventions/u-con-2022/schedule/522","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"Fiasco","203","Board and Card Game","Gary Loyola","Inspired by films involving schemes gone horribly wrong, players will create characters on the spot based on the rolls of six-sided dice in situations that seemed like a good idea at the time.","0","Adult (18+)","5","1","0","Friday at  8:00 PM","2022-10-08T00:00:00","180","http://","Ballroom","308","2022-08-03T23:29:01","2022-09-09T17:41:37","/conventions/u-con-2022/schedule/203","Beginner","Average","3","Oakland County Gamers",,,"6'x18"" Rectangle (6 chairs)"
"The Beautiful Blight of Belsinore (WBW-DC-BEL)","529","Organized Play","Gina Devlin","Belsinore has a strange affliction that is changing the melancholy domain into a joyful place. Run by the author. For players new or experienced, chars 1-4 (tier one). We can provide materials.","0","Family Friendly (7+)","7","0","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Clubhouse","Clubhouse 4","2022-09-02T13:06:37","2022-09-02T13:47:18","/conventions/u-con-2022/schedule/529","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"The Party That Split (WBW-DC-UCON-01)","533","Organized Play","Daniel E. Chapman II","Basht needs your help. The children have disappeared from a party. Part of a series, can stand alone. For players both new and experienced, characters level 1-4 (tier one). We can provide materials.","0","Family Friendly (7+)","7","1","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Clubhouse","Clubhouse 01","2022-09-02T13:06:44","2022-09-14T14:17:10","/conventions/u-con-2022/schedule/533","Beginner","Average","3","U-Con Adventurers League","D&D","5th",""
"Stillfleet: The Sleeper in the Sky","501","Role Playing","Paul Kemezis","Far, far in the future, you are a Voidminer - a scavenger and adventurer employed by the Worshipful Co. of Stillfleeters. You're tasked with rescuing a tech specialist from a seemingly abandoned ship.","0","Adult (18+)","5","0","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://stillfleet.com","Conference C","Conference C 2","2022-09-02T11:33:58","2022-09-02T19:37:50","/conventions/u-con-2022/schedule/501","Beginner","Average","3",,"Stillfleet","2.1","5' Round"
"Frozen Whispers (DDAL-DRW-15)","541","Organized Play","Nicholas Best","Something in Xorvintroth is harming your allies. If you can't stop it, your mission will be over before you ever take the fight to the Red Wizards. Cold Dark #2. For levels 11-16 (tier 3).","0","Teen (13+)","7","3","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Clubhouse","Clubhouse 5","2022-09-02T17:31:53","2022-09-15T20:19:09","/conventions/u-con-2022/schedule/541","Expert","Average","3","U-Con Adventurers League","D&D","5th",""
"Dungeon Crawl Classics: Doom of the Savage Kings!","257","Role Playing","Joshua t Carlton","Come enjoy a weird and wild level-1 adventure with Goodman Games' Dungeon Crawl Classics!

Roll up a character beforehand, or use a premade I provide, just make sure to bring a sense of weird wonder!","0","Adult (18+)","6","1","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","https://www.instagram.com/p/CiDXLdrOjud/?igshid=YmMyMTA2M2Y=","Conference H","Conference H 1","2022-08-05T12:14:25","2022-09-04T19:52:04","/conventions/u-con-2022/schedule/257","Some XP","Average","4",,"Dungeon Crawl Classics",,"5' Round"
"Barbarian Kings","448","Board and Card Game","David Lame","Fantasy wargame of conflict, economics, and diplomacy. I have made a few component modifications and rules simplifications to make it more convention friendly and to fit into a two hour time slot.","0","Teen (13+)","5","0","0","Friday at  8:00 PM","2022-10-08T00:00:00","120","http://","Ballroom","421","2022-08-29T20:36:06","2022-08-31T17:22:20","/conventions/u-con-2022/schedule/448","Beginner","Average","6",,,,"6'x30"" Rectangle (6 chairs)"
"Dark Matter: Home, Home, Home Again","141","Role Playing","Jason Altland","Circumstances require the Raza and her crew to make their way to Earth, infiltrate a high security compound, and most importantly, do this all without dying or getting arrested by Corporate Security.","0","Teen (13+)","6","6","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Conference G","Conference G 1","2022-07-28T16:27:45","2022-09-03T11:47:46","/conventions/u-con-2022/schedule/141","Beginner","Average","3","Matinee Adventures","Mutants & Masterminds","3rd","5' Round"
"The Echo Principal","104","Role Playing","Angela Murray","It’s March 1985 and this should be just any other school day, but your middle school Vice Principal was just nice to you and that absolutely means something weird must be going on.","0","Teen (13+)","6","6","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Conference G","Conference G 2","2022-07-23T19:19:34","2022-09-03T19:34:59","/conventions/u-con-2022/schedule/104","Beginner","Average","3","Matinee Adventures","Tales from the Loop",,"5' Round"
"Fish Walks On Land ... You Wake Up Dead!","456","Role Playing","Kevin Hogan","Dread is a horror roleplaying game where the resolution mechanic is the ""Jumbling Tower."" 

Bad things happen.  Your character will probably die.","0","Adult (18+)","4","4","0","Friday at  8:00 PM","2022-10-08T00:00:00","120","http://","Conference E","Conference E 5","2022-08-30T11:53:46","2022-09-12T21:42:47","/conventions/u-con-2022/schedule/456","Beginner","Average","2",,"Dread",,"5' Round"
"True Crime","168","Role Playing","Peter Parker","Archeologist Howard Carter has been searching the Valley of the Kings since 1907; without ""the big find"" he may his lose funding and permits.  He seeks help from the Fellowship and the Atlas Library.","0","Teen (13+)","6","5","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://www.thenodringames.com","Conference D","Conference D 1","2022-07-28T16:43:58","2022-09-05T19:39:48","/conventions/u-con-2022/schedule/168","Beginner","Simple","3","Fellowship of the White Star","Fellowship of the White Star","2nd Edition","5' Round"
"Rescue on Brightway","156","Role Playing","Forest Ray","Communication has been lost with planet Brightway and you have to sort things out! Why was contact lost? Who is responsible? What evil scheme is afoot?","0","Family Friendly (7+)","6","2","0","Friday at  8:00 PM","2022-10-08T00:00:00","240","http://","Conference H","Conference H 6","2022-07-28T16:36:59","2022-09-08T01:03:48","/conventions/u-con-2022/schedule/156","Some XP","Average","3",,"","Whitestar Galaxy Edition","5' Round"
